Year,Mo,Dy,Tsu,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Num,De,Num,De,$Mill,De,Num,De,,
1953,10,5,,,*,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,1,,1,1,,,,,,,
1953,12,24,,,*,Ruapehu,New Zealand,New Zealand,-39.28,175.57,2797,Stratovolcano,,m,151,3,,,,,,,
1954,2,,Tsu,,*,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,,,,,,,,,,,
1954,7,21,,,*,Tate-yama,Honshu-Japan,Japan,36.57,137.6,2621,Stratovolcano,,G,1,1,,,,,,,
1954,8,3,,,*,Bam,New Guinea-NE of,Papua New Guinea,-3.6,144.85,685,Stratovolcano,2,I,25,1,,2,,,,,
1954,,,,,*,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1332,Stratovolcano,,m,2,1,,,,,,,
1955,7,26,,,*,Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,1114,Pyroclastic cone,4,G,2,1,,,,,,,
1955,10,13,,,*,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,3,,,1,,,,,,,
1956,3,30,Tsu,,*,Bezymianny,Kamchatka,Russia,55.978,160.587,2882,Stratovolcano,5,,,,,,,,,,
1957,3,11,,Eq,*,Vsevidof,Aleutian Is,United States,53.13,-168.68,2149,Stratovolcano,2,,,,,,,,,,
1957,7,,,,*,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,,m,13,1,,,,,,,
1957,8,,,,*,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,2,T,1,1,53,2,,,,,
1957,10,,,,*,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,T,12,1,,,,,,,
1958,7,12,,,*,Mahawu,Sulawesi-Indonesia,Indonesia,1.358,124.858,1324,Stratovolcano,2,M,1,1,10,1,,,,,
1958,7,21,,,*,Daisetsu,Hokkaido-Japan,Japan,43.68,142.88,2290,Stratovolcano,,G,2,1,,,,,,,
1958,10,7,Tsu,,*,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2,Caldera,2,,,,,,,,,,
1960,5,25,Tsu,Eq,*,Puyehue,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,3,,,,,,,,,,
1961,1,25,,,*,Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,3,,,,,,,1,,,
1961,4,23,,,*,Tate-yama,Honshu-Japan,Japan,36.57,137.6,2621,Stratovolcano,,G,1,1,,,,,,,
1961,5,8,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,3,P,6,1,6,1,,2,,3,
1961,6,18,,,*,Daisetsu,Hokkaido-Japan,Japan,43.68,142.88,2290,Stratovolcano,,G,2,1,,,,,,,
1961,8,18,,,*,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,T,1,1,,,,,,,
1962,6,29,,,*,Tokachi,Hokkaido-Japan,Japan,43.42,142.68,2077,Stratovolcano,3,T,5,1,11,1,,,,,
1962,10,,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,,m,2,1,,,,,,,
1962,12,31,,,*,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,2,,5,1,5,1,,,,,
1963,3,17,Tsu,,*,Agung,Lesser Sunda Is,Indonesia,-8.342,115.508,3142,Stratovolcano,4,"P,T,M,A",1028,4,624,3,,,,,
1963,3,17,,,*,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432,Stratovolcano,3,T,15,1,,,,,,,
1963,5,5,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,2,T,1,1,,,,,,,
1963,5,16,,Eq,*,Agung,Lesser Sunda Is,Indonesia,-8.342,115.508,3142,Stratovolcano,3,,120,2,,,,,,,
1963,5,21,,,*,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,M,,1,,,,,,,
1963,9,5,,,*,Batur,Lesser Sunda Is,Indonesia,-8.242,115.375,1717,Caldera,2,,2,1,,,,,,1,
1963,9,28,,,*,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,M,7,1,,,,,,,
1963,12,10,,,*,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432,Stratovolcano,3,"M,T",40,1,,1,,,400,3,
1964,1,1,,,*,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,2,,1,1,3,1,,,,,
1964,3,3,,,*,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,M,25,1,,,,,,,
1964,12,13,,,*,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,1,,114,3,,,,,,,
1965,9,28,Tsu,,*,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,4,"P,W",355,3,,,,1,,1,
1966,1,13,Tsu,,*,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851,Stratovolcano,3,,,,,,,,,,
1966,4,26,,,*,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,4,"M,m,P",215,3,86,2,,,,,
1966,8,12,,,*,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,1320,Stratovolcano,4,"P,M,I",39,1,1000,3,,,,2,
1966,8,14,,,*,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,2890,Stratovolcano,4,,,,,,,1,,,
1967,7,8,,,*,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,2890,Stratovolcano,3,,,,,,,1,,,
1967,8,31,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,M,3,1,,,,1,,,
1967,12,4,Tsu,,*,Deception Island,Antarctica,Antarctica,-62.97,-60.65,576,Caldera,3,,,,,,,,,,
1968,4,21,,,*,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,"M,P",6,1,,,,,,,
1968,7,29,,,*,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,3,"P,T",80,2,,,,,,,
1969,1,7,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,P,3,1,,,,,,,
1969,1,28,,,*,Iya,Lesser Sunda Is,Indonesia,-8.88,121.63,637,Stratovolcano,3,"T,m",2,1,10,1,,,287,2,
1969,3,21,Tsu,,*,Didicas,Luzon-N of,Philippines,19.077,122.202,244,Compound volcano,2,W,,,,,,,,,
1969,8,26,,,*,Narugo,Honshu-Japan,Japan,38.73,140.73,462,Caldera,,G,1,1,,,,,,,
1970,3,2,,,*,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,S,3,1,,,,1,,1,
1970,5,5,,,*,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,,,,,,1,,,
1971,8,12,,,*,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,3,M,5,1,,,,,,,
1971,9,6,Tsu,,*,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851,Stratovolcano,2,,,,,,,,,,
1971,9,14,,,*,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,"M,T",10,1,,,,,,,
1971,10,26,,,*,La Palma,Canary Is,Spain,28.58,-17.83,2426,Stratovolcano,2,,,1,,,,1,,,
1971,10,29,,,*,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,M,15,1,,,,,,,
1971,12,27,,,*,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,,G,6,1,,,,,,,
1972,6,9,,,*,"Fournaise, Piton de la",Indian O-W,Reunion,-21.229,55.713,2631,Shield volcano,2,I,3,1,,,,,,,
1972,10,2,,,*,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,,,2,1,,,,,,,
1972,10,9,Tsu,,*,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,140,Stratovolcano,1,,,,,,,,,,
1973,1,27,,,*,Vestmannaeyjar,Iceland-S,Iceland,63.43,-20.28,279,Submarine volcano,3,G,1,1,,,,,,,
1973,1,,,,*,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,,,,,,,1,,1,
1973,4,5,,,*,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,,M,2,1,,,,1,,1,
1973,12,5,,,*,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,2,W,2,1,,,,,,,
1974,2,11,,,*,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,3,A,4,1,,,,,,,
1974,6,17,,,*,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,3,M,3,1,,,,,,,
1974,7,28,,,*,Niigata-Yake-yama,Honshu-Japan,Japan,36.92,138.03,2400,Lava dome,2,T,3,1,,,,,,,
1974,8,9,,,*,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,3,M,5,1,,,,,,,
1974,10,10,,,*,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,4,"T,M",,1,,,,,,,
1974,10,17,Tsu,,*,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,140,Stratovolcano,1,,,,,,,,,,
1974,10,22,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,M,9,1,,,,,6,1,
1975,1,,,,*,Marapi,Sumatra,Indonesia,-0.381,100.473,2891,Complex volcano,2,M,80,2,,,,3,,3,
1975,6,17,,,*,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,3,,2,1,,1,,,,,
1975,11,29,Tsu,Eq,*,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,0,W,,,,,,,,,
1976,8,3,,,*,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,,G,3,1,,,,,,,
1976,8,12,,,*,Sangay,Ecuador,Ecuador,-2.03,-78.33,5230,Stratovolcano,3,T,2,1,4,1,,,,,
1976,8,31,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,2,M,119,3,,,,,,,
1976,9,15,,,*,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,2,P,1,1,1,1,,,24,1,
1976,11,25,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,M,29,1,,,,,,,
1977,1,10,,,*,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1,L,,2,,,,3,,,
1977,4,5,,,*,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,0,,,1,,,,1,,,
1977,4,27,,,*,Krafla,Iceland-NE,Iceland,65.73,-16.78,650,Caldera,1,,,,,,,1,,,
1977,8,2,,,*,Kliuchevskoi,Kamchatka,Russia,56.057,160.638,4835,Stratovolcano,3,T,1,1,,,,,,,
1977,8,7,,,*,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,3,I,3,1,,,,,,,
1978,1,13,,,*,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,3,m,3,1,2,1,,,,,
1978,7,29,,,*,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,2,,,,,,,1,,,
1978,9,2,,,*,Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772,Stratovolcano,3,M,1,1,,,,,,,
1978,9,19,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,M,12,1,,,,,,,
1978,,,,,*,Tangkubanparahu,Java,Indonesia,-6.77,107.6,2084,Stratovolcano,,I,3,1,,,,,,,
1979,2,20,,,*,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,1,G,149,3,,,,,,,
1979,3,8,,,*,Karkar,New Guinea-NE of,Papua New Guinea,-4.649,145.964,1839,Stratovolcano,2,P,2,1,,,,,,,
1979,4,13,,,*,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,3,"T,P",2,1,,,,,,,
1979,7,5,,,*,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,T,9,1,23,1,,,,,
1979,9,6,,,*,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,T,3,1,11,1,,,,,
1979,,,,,*,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,0,,,,,,,,,,
1980,5,18,Tsu,Eq,*,St. Helens,US-Washington,United States,46.2,-122.18,2549,Stratovolcano,5,"P,M,T",57,2,,,2000,4,,,20
1980,8,17,,,*,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,,,,,,1,,,
1980,12,25,,,*,Hood,US-Oregon,United States,45.374,-121.694,3426,Stratovolcano,,m,1,1,,,,,,,
1981,3,17,,,*,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,,,,,,10,3,,,
1981,3,29,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,P,1,1,,,,,,,
1981,4,27,,,*,Alaid,Kuril Is,Russia,50.858,155.55,2339,Stratovolcano,2,,,,,,,1,,,
1981,5,14,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,m,372,3,152,3,,,,,
1981,6,30,,,*,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,m,200,3,,,,,,,
1981,9,5,,,*,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,2,P,,,,,,1,,1,
1981,,,,,*,Vilyuchik,Kamchatka,Russia,52.68,158.3,2173,Stratovolcano,,A,,1,,,,,,,
1982,3,28,,Eq,*,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,"P,T,M,S",1879,4,,,3.3,2,,,
1982,4,4,,,*,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,P,33,1,,,,,,,
1982,5,17,,,*,Galunggung,Java,Indonesia,-7.25,108.05,2168,Stratovolcano,4,"I,T",68,2,,,15,3,,,
1982,5,27,,,*,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,m,1,1,,,,,,,
1983,3,8,,,*,Kliuchevskoi,Kamchatka,Russia,56.057,160.638,4835,Stratovolcano,2,T,1,1,,,,,,,
1983,7,23,,,*,Colo [Una Una],Sulawesi-Indonesia,Indonesia,-0.17,121.608,507,Stratovolcano,4,,,,,,,1,,,
1983,8,17,Tsu,,*,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,1,W,,,,,,,,,
1983,10,3,,Eq,*,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,3,,,,,,,1,,,
1984,8,15,,,*,Oku Volc Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,,G,37,1,,,,,,,
1984,9,9,,,*,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,M,1,1,,,,,,,
1984,9,14,,,*,On-take,Honshu-Japan,Japan,35.9,137.48,3063,Complex volcano,,A,29,1,,,,,,,
1984,10,16,,,*,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,S,1,1,,,,,,,
1985,5,10,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,A,70,2,,,,,,,
1985,11,13,,,*,Ruiz,Colombia,Colombia,4.895,-75.322,5321,Stratovolcano,3,M,23080,4,10000,4,,,,,
1985,12,19,,,*,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,1,S,1,1,,,,,,,
1986,5,8,,,*,Akita-Yake-yama,Honshu-Japan,Japan,39.97,140.77,1366,Complex volcano,,G,1,1,,,,,,,
1986,7,24,,,*,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,2,T,1,1,,,,,,,
1986,8,21,,,*,Oku Volc Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,3,G,1700,4,300,3,,,,,
1986,10,15,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,M,1,1,,,,,,,
1986,11,15,,,*,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,3,I,1,1,,,,,,,
1987,1,25,,,*,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,3,,,,15,1,,1,63,2,
1987,4,17,,,*,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,T,2,1,7,1,,,,,
1987,12,1,,Eq,*,Sirung,Lesser Sunda Is,Indonesia,-8.51,124.148,862,Complex volcano,,,,,,,,,,,
1988,5,9,,,*,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,3,"T,L",4,1,,,,,,,
1988,7,6,,,*,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,3,T,1,1,,,,,,,
1988,7,30,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,T,1,1,,,,,,,
1988,12,25,,,*,Lonquimay,Chile-C,Chile,-38.377,-71.58,2865,Stratovolcano,3,T,1,1,,,,,,,
1988,,,,,*,Akita-Yake-yama,Honshu-Japan,Japan,39.97,140.77,1366,Complex volcano,,I,3,1,,,,,,,
1989,2,12,,,*,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,,G,1,1,,,,,,,
1989,8,26,,,*,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,,G,2,1,,,,,,,
1990,2,2,,,*,Shiveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,3,,,,,,,1,,,
1990,2,10,,,*,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,4,"T,P",32,1,,,,,,,
1990,3,26,,,*,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,G,1,1,,,,,,,
1990,4,18,,,*,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,G,1,1,,,,,,,
1990,5,29,,,*,Sabancaya,Peru,Peru,-15.78,-71.85,5967,Stratovolcano,3,,,,,,,1,,,
1990,6,24,,,*,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,,G,6,1,,,,,,,
1990,7,19,,,*,Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772,Stratovolcano,3,T,4,1,,,,,,,
1990,10,19,,,*,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,G,1,1,,,,,,,
1990,11,21,,,*,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,,S,1,1,,,,,,,
1990,11,25,,,*,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,,m,4,1,,,,,,,
1991,6,3,,,*,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,1,P,43,1,,,,,,,
1991,6,15,,Eq,*,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,"P,m,I",450,3,4,1,,3,,,40
